"pathway","effect","F_value","p_value","padj"
"Intramitochondrial membrane interactions","myc_status",98.5315361066419,3.58230050521461e-09,5.15851272750904e-07
"Immune response","myc_status",76.8244786614796,2.76491087201219e-08,1.99073582784878e-06
"Cholesterol, bile acid, steroid synthesis","myc_status",53.6337618201197,4.43863758559972e-07,1.64069645317049e-05
"Serine metabolism","myc_status",53.4425960223948,4.5574901476958e-07,1.64069645317049e-05
"Nucleotide import","myc_status",41.3931858771792,2.82870627070534e-06,8.14667405963139e-05
"Calcium homeostasis","myc_status",37.328328521975,5.69800549146521e-06,0.000136752131795165
"SAM","myc_status",35.9654645012637,7.28961447324275e-06,0.000149957783449565
"Small molecule transport","myc_status",33.3937073467232,1.18070478075184e-05,0.000188912764920295
"Trafficking","myc_status",33.5784759071759,1.13959023678085e-05,0.000188912764920295
"Chaperones","myc_status",32.5244688109845,1.39735293291846e-05,0.000200369948514074
"Metals and cofactors","myc_status",31.0010306513311,1.89072379488648e-05,0.000200369948514074
"Mitochondrial dynamics and surveillance","myc_status",31.4578872148323,1.72513150381473e-05,0.000200369948514074
"Fission","myc_status",30.9937688978355,1.89349343390211e-05,0.000200369948514074
"Apoptosis-PRO","myc_status",30.8530871656267,1.94804116610905e-05,0.000200369948514074
"Translation factors","myc_status",28.2113223089588,3.37346805908913e-05,0.000303612125318022
"SLC25A family","myc_status",28.469627605536,3.19273544741141e-05,0.000303612125318022
"CIII assembly factors","myc_status",26.4229286818664,4.98225553505954e-05,0.000404148307057489
"EF hand proteins","myc_status",26.3606041237631,5.05185383821861e-05,0.000404148307057489
"Apoptosis","myc_status",25.2614321541349,6.47337560752348e-05,0.000490613730254411
"Protein homeostasis","myc_status",21.5215182684584,0.000158277318752954,0.00113959669502127
"Transcription","myc_status",20.8801658718745,0.000186095970747765,0.0012760866565561
"Iron homeostasis","myc_status",19.0539752876618,0.000299669511703306,0.00196147316751255
"Protein import, sorting and homeostasis","myc_status",18.8764716916164,0.00031427348735644,0.00196762531214467
"Amidoxime reducing complex","myc_status",18.6731260606721,0.000331976531632241,0.00199185918979345
"Autophagy","myc_status",18.4829942713166,0.000349529201022648,0.00201328819789045
"Branched-chain amino acid dehydrogenase complex","myc_status",18.2130283335289,0.000376237368043852,0.00208377619224287
"Vitamin A metabolism","myc_status",17.977059191959,0.000401434811079894,0.00214098565909277
"Folate and 1-C metabolism","myc_status",16.2852041026255,0.000647492017831414,0.00294870145661102
"Detoxification","myc_status",16.3727058423315,0.000631303909596908,0.00294870145661102
"Signaling","myc_status",16.3950092139732,0.000627249568872116,0.00294870145661102
"Calcium uniporter","myc_status",16.4422815871787,0.00061875107300163,0.00294870145661102
"Apoptosis-ANTI","myc_status",16.2440330983062,0.000655266990358005,0.00294870145661102
"Xenobiotic metabolism","myc_status",15.5741125956981,0.000797430811580609,0.0034796980868972
"Fe-S cluster biosynthesis","myc_status",15.1936231269567,0.000893142338512456,0.00378272049252334
"Mitophagy","myc_status",14.8632636290323,0.000986607526489578,0.00405918525184283
"Vitamin B2 metabolism","myc_status",14.1618315610837,0.0012230766182305,0.004892306472922
"mt-tRNA modifications","myc_status",13.8362389990214,0.0013536259995796,0.00526816605241791
"Carnitine synthesis and transport","myc_status",13.5463284879015,0.0014829289953754,0.00540635666961547
"Carnitine shuttle","myc_status",13.5463284879015,0.0014829289953754,0.00540635666961547
"NAD biosynthesis and metabolism","myc_status",13.5064393395627,0.00150176574155985,0.00540635666961547
"Translation","myc_status",12.8728212637538,0.00183943090357679,0.00646044024670871
"Fusion","myc_status",12.4168892870207,0.00213436593701561,0.00731782606976781
