"pathway","effect","F_value","p_value","padj"
"mtDNA nucleoid","myc_status",49.4583565136782,8.03749610308137e-07,0.000115739943884372
"mtDNA maintenance","myc_status",29.7097516168304,2.46139528874235e-05,0.00063510959480181
"mt-tRNA modifications","myc_status",29.36117960637,2.64628997834087e-05,0.00063510959480181
"fMet processing","myc_status",34.1149084303178,1.02889319310924e-05,0.00063510959480181
"Immune response","myc_status",29.3624998820192,2.64556142302477e-05,0.00063510959480181
"Intramitochondrial membrane interactions","myc_status",31.1798984581506,1.82389251373544e-05,0.00063510959480181
"mtRNA metabolism","myc_status",27.1082770028715,4.2828288297483e-05,0.000881039073548221
"mtRNA stability and decay","myc_status",25.7864769164507,5.74585953123755e-05,0.00103425471562276
"Transcription","myc_status",23.8999055154959,8.87989209850226e-05,0.00142078273576036
"Lipoate insertion","myc_status",23.1845154196178,0.00010528263477898,0.00151606994081731
"Chaperones","myc_status",22.655881653055,0.000119630551958551,0.00156607268018467
"Serine metabolism","myc_status",22.0032716114704,0.000140397247724325,0.0016757747530045
"Tetrahydrobiopterin synthesis","myc_status",21.7024012123333,0.000151285220757351,0.0016757747530045
"Mitochondrial central dogma","myc_status",21.0097685870543,0.00018006630215862,0.00174048232916131
"mt-tRNA synthetases","myc_status",20.9828602671199,0.00018130024262097,0.00174048232916131
"CV assembly factors","myc_status",19.8412409962663,0.000243329677040842,0.00218996709336757
"Translation factors","myc_status",19.5964601832595,0.000259483291995741,0.00219797612043451
"Polycistronic mtRNA processing","myc_status",19.3380155240972,0.000277833495960318,0.00222266796768254
"TOM","myc_status",19.1323484852283,0.000293461115438886,0.00222412634858945
"Protein homeostasis","myc_status",18.8258236529123,0.000318583279795223,0.00229379961452561
"SAM","myc_status",18.5882838571909,0.000339685849610482,0.00232927439732902
"mtRNA granules","myc_status",18.1027037835924,0.000387793902738677,0.00249872100010613
"Creatine metabolism","myc_status",17.9982158436326,0.000399101270850285,0.00249872100010613
"Translation","myc_status",17.7695318836756,0.000425140552125698,0.00255084331275419
"Protein import, sorting and homeostasis","myc_status",17.0997080048043,0.00051284711160692,0.002664760102971
"CI assembly factors","myc_status",17.0633625326925,0.000518147797799917,0.002664760102971
"Coenzyme A metabolism","myc_status",17.4281830182038,0.000467567293026978,0.002664760102971
"Fe-S cluster biosynthesis","myc_status",17.1938440917786,0.000499394433695792,0.002664760102971
"Folate and 1-C metabolism","myc_status",16.5469654972788,0.000600380361120748,0.00298119903453061
"TCA-associated","myc_status",15.9151195412473,0.000721217895277461,0.00346184589733182
"Mitochondrial ribosome assembly","myc_status",15.7447259091108,0.00075824260152562,0.0035221591812803
"mtDNA replication","myc_status",15.2561252886353,0.000876584408827305,0.00394001334929226
"Mitochondrial ribosome","myc_status",15.0839558638846,0.000923037090481066,0.00394001334929226
"Proline metabolism","myc_status",15.0579728109931,0.000930280929694006,0.00394001334929226
"Protein import and sorting","myc_status",14.5232281864414,0.00109424223852685,0.00450202520993903
"Cytochromes","myc_status",14.3773069080329,0.00114436161956656,0.00457744647826623
"mtDNA stability and decay","myc_status",13.8218740913735,0.00135973066471694,0.00507910342925535
"MIA40","myc_status",13.7848852142744,0.00137559051208999,0.00507910342925535
"Type II fatty acid synthesis","myc_status",13.8070105051697,0.00136607933314275,0.00507910342925535
"Branched-chain amino acid dehydrogenase complex","myc_status",13.0740040450711,0.001723887823253,0.00620599616371081
"Nucleotide synthesis and processing","myc_status",12.9164446004152,0.00181366740330555,0.0063699538067317
"Proteases","myc_status",12.8329945543123,0.00186330633930754,0.00638847887762585
"OXPHOS assembly factors","myc_status",12.486997865713,0.00208578827079045,0.00682621615895057
"Copper metabolism","myc_status",12.5361917264004,0.00205243352486173,0.00682621615895057
"Biotin utilizing proteins","myc_status",12.3388900362894,0.00218988884053847,0.00700764428972312
"Phospholipid metabolism","myc_status",12.14534747803,0.00233469912781957,0.0071236346836072
"Vitamin metabolism","myc_status",12.0989318423903,0.00237098454952496,0.0071236346836072
"Sideroflexins","myc_status",12.094419967421,0.00237454489453573,0.0071236346836072
"mtDNA repair","myc_status",11.6600338900765,0.00274675649394138,0.00803022052194607
"CIV assembly factors","myc_status",11.5572216703726,0.0028440364348559,0.00803022052194607
"Calcium cycle","myc_status",11.5604747515785,0.00284090052023122,0.00803022052194607
"Heme-containing proteins","myc_status",11.4003357323609,0.00299992592644569,0.00830748718092653
"Signaling","myc_status",11.2075698731756,0.00320458401182094,0.00870679429626822
"TIM23 presequence pathway","myc_status",11.1504373246289,0.00326818101876286,0.00871514938336763
"Eicosanoid metabolism","myc_status",10.8647932785547,0.0036078839313065,0.00944609611105703
"Carbohydrate metabolism","myc_status",10.63284192188,0.00391265822466618,0.00991461995859656
"Itaconate metabolism","myc_status",10.6242114220962,0.00392453706694447,0.00991461995859656
"Fe-S-containing proteins","myc_status",10.301963162534,0.00439807242565966,0.010919352229224
"Glycine metabolism","myc_status",9.96187984703928,0.00496774054746779,0.0121246548955146
"Complex V","myc_status",9.90777456160153,0.00506571472030446,0.0121577153287307
"Pyruvate metabolism","myc_status",9.84749128296599,0.00517741282199455,0.0122220892847084
"CV subunits","myc_status",9.75208417462505,0.00535982856184006,0.0122510367127773
